id	title	frequency	units
ADAPU3544	Unemployment Level - Associate Degree - Academic Program, 35 to 44 years	Monthly	Thousands of Persons
ADAPU4554	Unemployment Level - Associate Degree - Academic Program, 45 to 54 years	Monthly	Thousands of Persons
ADAPU5564	Unemployment Level - Associate Degree - Academic Program, 55 to 64 years	Monthly	Thousands of Persons
ADAPU65O	Unemployment Level - Associate Degree - Academic Program, 65 years and over	Monthly	Thousands of Persons
ADAPUM1617	Unemployment Level - Associate Degree - Academic Program, 16 to 17 years, Men	Monthly	Thousands of Persons
ADAPUM1619	Unemployment Level - Associate Degree - Academic Program, 16 to 19 years, Men	Monthly	Thousands of Persons
ADAPUM16O	Unemployment Level - Associate Degree - Academic Program, 16 years and over, Men	Monthly	Thousands of Persons
ADAPUM1819	Unemployment Level - Associate Degree - Academic Program, 18 to 19 years, Men	Monthly	Thousands of Persons
ADAPUM2024	Unemployment Level - Associate Degree - Academic Program, 20 to 24 years, Men	Monthly	Thousands of Persons
ADAPUM2534	Unemployment Level - Associate Degree - Academic Program, 25 to 34 years, Men	Monthly	Thousands of Persons
ADAPUM2564	Unemployment Level - Associate Degree - Academic Program, 25 to 64 years, Men	Monthly	Thousands of Persons
ADAPUM25O	Unemployment Level - Associate Degree - Academic Program, 25 years and over, Men	Monthly	Thousands of Persons
ADAPUM3544	Unemployment Level - Associate Degree - Academic Program, 35 to 44 years, Men	Monthly	Thousands of Persons
ADAPUM4554	Unemployment Level - Associate Degree - Academic Program, 45 to 54 years, Men	Monthly	Thousands of Persons
ADAPUM5564	Unemployment Level - Associate Degree - Academic Program, 55 to 64 years, Men	Monthly	Thousands of Persons
ADAPUM65O	Unemployment Level - Associate Degree - Academic Program, 65 years and over, Men	Monthly	Thousands of Persons
ADAPUW1617	Unemployment Level - Associate Degree - Academic Program, 16 to 17 years, Women	Monthly	Thousands of Persons
ADAPUW1619	Unemployment Level - Associate Degree - Academic Program, 16 to 19 years, Women	Monthly	Thousands of Persons
ADAPUW16O	Unemployment Level - Associate Degree - Academic Program, 16 years and over, Women	Monthly	Thousands of Persons
ADAPUW1819	Unemployment Level - Associate Degree - Academic Program, 18 to 19 years, Women	Monthly	Thousands of Persons
ADAPUW2024	Unemployment Level - Associate Degree - Academic Program, 20 to 24 years, Women	Monthly	Thousands of Persons
ADAPUW2534	Unemployment Level - Associate Degree - Academic Program, 25 to 34 years, Women	Monthly	Thousands of Persons
ADAPUW2564	Unemployment Level - Associate Degree - Academic Program, 25 to 64 years, Women	Monthly	Thousands of Persons
ADAPUW25O	Unemployment Level - Associate Degree - Academic Program, 25 years and over, Women	Monthly	Thousands of Persons
ADAPUW3544	Unemployment Level - Associate Degree - Academic Program, 35 to 44 years, Women	Monthly	Thousands of Persons
ADAPUW4554	Unemployment Level - Associate Degree - Academic Program, 45 to 54 years, Women	Monthly	Thousands of Persons
ADAPUW5564	Unemployment Level - Associate Degree - Academic Program, 55 to 64 years, Women	Monthly	Thousands of Persons
ADAPUW65O	Unemployment Level - Associate Degree - Academic Program, 65 years and over, Women	Monthly	Thousands of Persons
ADEG1617	Unemployment Rate - Associate Degree, 16 to 17 years	Monthly	Percent
ADEG1617M	Unemployment Rate - Associate Degree, 16 to 17 years, Men	Monthly	Percent
ADEG1617W	Unemployment Rate - Associate Degree, 16 to 17 years, Women	Monthly	Percent
ADEG1619	Unemployment Rate - Associate Degree, 16 to 19 years	Monthly	Percent
ADEG1619M	Unemployment Rate - Associate Degree, 16 to 19 years, Men	Monthly	Percent
ADEG1619W	Unemployment Rate - Associate Degree, 16 to 19 years, Women	Monthly	Percent
ADEG16O	Unemployment Rate - Associate Degree, 16 years and over	Monthly	Percent
ADEG16OM	Unemployment Rate - Associate Degree, 16 years and over, Men	Monthly	Percent
ADEG16OW	Unemployment Rate - Associate Degree, 16 years and over, Women	Monthly	Percent
ADEG1819	Unemployment Rate - Associate Degree, 18 to 19 years	Monthly	Percent
ADEG1819M	Unemployment Rate - Associate Degree, 18 to 19 years, Men	Monthly	Percent
ADEG1819W	Unemployment Rate - Associate Degree, 18 to 19 years, Women	Monthly	Percent
ADEG2024	Unemployment Rate - Associate Degree, 20 to 24 years	Monthly	Percent
ADEG2024M	Unemployment Rate - Associate Degree, 20 to 24 years, Men	Monthly	Percent
ADEG2024W	Unemployment Rate - Associate Degree, 20 to 24 years, Women	Monthly	Percent
ADEG2534	Unemployment Rate - Associate Degree, 25 to 34 years	Monthly	Percent
ADEG2534M	Unemployment Rate - Associate Degree, 25 to 34 years, Men	Monthly	Percent
ADEG2534W	Unemployment Rate - Associate Degree, 25 to 34 years, Women	Monthly	Percent
ADEG2564	Unemployment Rate - Associate Degree, 25 to 64 years	Monthly	Percent
ADEG2564M	Unemployment Rate - Associate Degree, 25 to 64 years, Men	Monthly	Percent
ADEG2564W	Unemployment Rate - Associate Degree, 25 to 64 years, Women	Monthly	Percent
ADEG3544	Unemployment Rate - Associate Degree, 35 to 44 years	Monthly	Percent
ADEG3544M	Unemployment Rate - Associate Degree, 35 to 44 years, Men	Monthly	Percent
ADEG3544W	Unemployment Rate - Associate Degree, 35 to 44 years, Women	Monthly	Percent
ADEG4554	Unemployment Rate - Associate Degree, 45 to 54 years	Monthly	Percent
ADEG4554M	Unemployment Rate - Associate Degree, 45 to 54 years, Men	Monthly	Percent
ADEG4554W	Unemployment Rate - Associate Degree, 45 to 54 years, Women	Monthly	Percent
ADEG5564	Unemployment Rate - Associate Degree, 55 to 64 years	Monthly	Percent
ADEG5564M	Unemployment Rate - Associate Degree, 55 to 64 years, Men	Monthly	Percent
ADEG5564W	Unemployment Rate - Associate Degree, 55 to 64 years, Women	Monthly	Percent
ADEG65O	Unemployment Rate - Associate Degree, 65 years and over	Monthly	Percent
ADEG65OM	Unemployment Rate - Associate Degree, 65 years and over, Men	Monthly	Percent
ADEG65OW	Unemployment Rate - Associate Degree, 65 years and over, Women	Monthly	Percent
ADEGL1617	Civilian Labor Force - Associate Degree, 16 to 17 years	Monthly	Thousands of Persons
ADEGL1619	Civilian Labor Force - Associate Degree, 16 to 19 years	Monthly	Thousands of Persons
ADEGL16O	Civilian Labor Force - Associate Degree, 16 years and over	Monthly	Thousands of Persons
ADEGL1819	Civilian Labor Force - Associate Degree, 18 to 19 years	Monthly	Thousands of Persons
ADEGL2024	Civilian Labor Force - Associate Degree, 20 to 24 years	Monthly	Thousands of Persons
ADEGL2534	Civilian Labor Force - Associate Degree, 25 to 34 years	Monthly	Thousands of Persons
ADEGL2564	Civilian Labor Force - Associate Degree, 25 to 64 years	Monthly	Thousands of Persons
ADEGL25O	Civilian Labor Force - Associate Degree, 25 years and over	Monthly	Thousands of Persons
ADEGL3544	Civilian Labor Force - Associate Degree, 35 to 44 years	Monthly	Thousands of Persons
ADEGL4554	Civilian Labor Force - Associate Degree, 45 to 54 years	Monthly	Thousands of Persons
ADEGL5564	Civilian Labor Force - Associate Degree, 55 to 64 years	Monthly	Thousands of Persons
ADEGL65O	Civilian Labor Force - Associate Degree, 65 years and over	Monthly	Thousands of Persons
ADEGLM1617	Civilian Labor Force - Associate Degree, 16 to 17 years, Men	Monthly	Thousands of Persons
ADEGLM1619	Civilian Labor Force - Associate Degree, 16 to 19 years, Men	Monthly	Thousands of Persons
ADEGLM16O	Civilian Labor Force - Associate Degree, 16 years and over, Men	Monthly	Thousands of Persons
ADEGLM1819	Civilian Labor Force - Associate Degree, 18 to 19 years, Men	Monthly	Thousands of Persons
ADEGLM2024	Civilian Labor Force - Associate Degree, 20 to 24 years, Men	Monthly	Thousands of Persons
ADEGLM2534	Civilian Labor Force - Associate Degree, 25 to 34 years, Men	Monthly	Thousands of Persons
ADEGLM2564	Civilian Labor Force - Associate Degree, 25 to 64 years, Men	Monthly	Thousands of Persons
ADEGLM25O	Civilian Labor Force - Associate Degree, 25 years and over, Men	Monthly	Thousands of Persons
ADEGLM3544	Civilian Labor Force - Associate Degree, 35 to 44 years, Men	Monthly	Thousands of Persons
ADEGLM4554	Civilian Labor Force - Associate Degree, 45 to 54 years, Men	Monthly	Thousands of Persons
ADEGLM5564	Civilian Labor Force - Associate Degree, 55 to 64 years, Men	Monthly	Thousands of Persons
ADEGLM65O	Civilian Labor Force - Associate Degree, 65 years and over, Men	Monthly	Thousands of Persons
ADEGLW1617	Civilian Labor Force - Associate Degree, 16 to 17 years, Women	Monthly	Thousands of Persons
ADEGLW1619	Civilian Labor Force - Associate Degree, 16 to 19 years, Women	Monthly	Thousands of Persons
ADEGLW16O	Civilian Labor Force - Associate Degree, 16 years and over, Women	Monthly	Thousands of Persons
ADEGLW1819	Civilian Labor Force - Associate Degree, 18 to 19 years, Women	Monthly	Thousands of Persons
ADEGLW2024	Civilian Labor Force - Associate Degree, 20 to 24 years, Women	Monthly	Thousands of Persons
ADEGLW2534	Civilian Labor Force - Associate Degree, 25 to 34 years, Women	Monthly	Thousands of Persons
ADEGLW2564	Civilian Labor Force - Associate Degree, 25 to 64 years, Women	Monthly	Thousands of Persons
ADEGLW25O	Civilian Labor Force - Associate Degree, 25 years and over, Women	Monthly	Thousands of Persons
ADEGLW3544	Civilian Labor Force - Associate Degree, 35 to 44 years, Women	Monthly	Thousands of Persons
ADEGLW4554	Civilian Labor Force - Associate Degree, 45 to 54 years, Women	Monthly	Thousands of Persons
ADEGLW5564	Civilian Labor Force - Associate Degree, 55 to 64 years, Women	Monthly	Thousands of Persons
ADEGLW65O	Civilian Labor Force - Associate Degree, 65 years and over, Women	Monthly	Thousands of Persons
ADEGU1617	Unemployment Level - Associate Degree, 16 to 17 years	Monthly	Thousands of Persons
ADEGU1619	Unemployment Level - Associate Degree, 16 to 19 years	Monthly	Thousands of Persons
ADEGU16O	Unemployment Level - Associate Degree, 16 years and over	Monthly	Thousands of Persons
ADEGU1819	Unemployment Level - Associate Degree, 18 to 19 years	Monthly	Thousands of Persons
ADEGU2024	Unemployment Level - Associate Degree, 20 to 24 years	Monthly	Thousands of Persons
ADEGU2534	Unemployment Level - Associate Degree, 25 to 34 years	Monthly	Thousands of Persons
ADEGU2564	Unemployment Level - Associate Degree, 25 to 64 years	Monthly	Thousands of Persons
ADEGU25O	Unemployment Level - Associate Degree, 25 years and over	Monthly	Thousands of Persons
ADEGU3544	Unemployment Level - Associate Degree, 35 to 44 years	Monthly	Thousands of Persons
ADEGU4554	Unemployment Level - Associate Degree, 45 to 54 years	Monthly	Thousands of Persons
ADEGU5564	Unemployment Level - Associate Degree, 55 to 64 years	Monthly	Thousands of Persons
ADEGU65O	Unemployment Level - Associate Degree, 65 years and over	Monthly	Thousands of Persons
ADEGUM1617	Unemployment Level - Associate Degree, 16 to 17 years, Men	Monthly	Thousands of Persons
ADEGUM1619	Unemployment Level - Associate Degree, 16 to 19 years, Men	Monthly	Thousands of Persons
ADEGUM16O	Unemployment Level - Associate Degree, 16 years and over, Men	Monthly	Thousands of Persons
ADEGUM1819	Unemployment Level - Associate Degree, 18 to 19 years, Men	Monthly	Thousands of Persons
ADEGUM2024	Unemployment Level - Associate Degree, 20 to 24 years, Men	Monthly	Thousands of Persons
ADEGUM2534	Unemployment Level - Associate Degree, 25 to 34 years, Men	Monthly	Thousands of Persons
ADEGUM2564	Unemployment Level - Associate Degree, 25 to 64 years, Men	Monthly	Thousands of Persons
ADEGUM25O	Unemployment Level - Associate Degree, 25 years and over, Men	Monthly	Thousands of Persons
ADEGUM3544	Unemployment Level - Associate Degree, 35 to 44 years, Men	Monthly	Thousands of Persons
ADEGUM4554	Unemployment Level - Associate Degree, 45 to 54 years, Men	Monthly	Thousands of Persons
ADEGUM5564	Unemployment Level - Associate Degree, 55 to 64 years, Men	Monthly	Thousands of Persons
ADEGUM65O	Unemployment Level - Associate Degree, 65 years and over, Men	Monthly	Thousands of Persons
ADEGUW1617	Unemployment Level - Associate Degree, 16 to 17 years, Women	Monthly	Thousands of Persons
ADEGUW1619	Unemployment Level - Associate Degree, 16 to 19 years, Women	Monthly	Thousands of Persons
ADEGUW16O	Unemployment Level - Associate Degree, 16 years and over, Women	Monthly	Thousands of Persons
ADEGUW1819	Unemployment Level - Associate Degree, 18 to 19 years, Women	Monthly	Thousands of Persons
ADEGUW2024	Unemployment Level - Associate Degree, 20 to 24 years, Women	Monthly	Thousands of Persons
ADEGUW2534	Unemployment Level - Associate Degree, 25 to 34 years, Women	Monthly	Thousands of Persons
ADEGUW2564	Unemployment Level - Associate Degree, 25 to 64 years, Women	Monthly	Thousands of Persons
ADEGUW25O	Unemployment Level - Associate Degree, 25 years and over, Women	Monthly	Thousands of Persons
ADEGUW3544	Unemployment Level - Associate Degree, 35 to 44 years, Women	Monthly	Thousands of Persons
ADEGUW4554	Unemployment Level - Associate Degree, 45 to 54 years, Women	Monthly	Thousands of Persons
ADEGUW5564	Unemployment Level - Associate Degree, 55 to 64 years, Women	Monthly	Thousands of Persons
ADEGUW65O	Unemployment Level - Associate Degree, 65 years and over, Women	Monthly	Thousands of Persons
ADOP1617	Unemployment Rate - Associate Degree - Occupational Program, 16 to 17 years	Monthly	Percent
ADOP1617M	Unemployment Rate - Associate Degree - Occupational Program, 16 to 17 years, Men	Monthly	Percent
ADOP1617W	Unemployment Rate - Associate Degree - Occupational Program, 16 to 17 years, Women	Monthly	Percent
ADOP1619	Unemployment Rate - Associate Degree - Occupational Program, 16 to 19 years	Monthly	Percent
ADOP1619M	Unemployment Rate - Associate Degree - Occupational Program, 16 to 19 years, Men	Monthly	Percent
ADOP1619W	Unemployment Rate - Associate Degree - Occupational Program, 16 to 19 years, Women	Monthly	Percent
ADOP16O	Unemployment Rate - Associate Degree - Occupational Program, 16 years and over	Monthly	Percent
ADOP16OM	Unemployment Rate - Associate Degree - Occupational Program, 16 years and over, Men	Monthly	Percent
ADOP16OW	Unemployment Rate - Associate Degree - Occupational Program, 16 years and over, Women	Monthly	Percent
ADOP1819	Unemployment Rate - Associate Degree - Occupational Program, 18 to 19 years	Monthly	Percent
ADOP1819M	Unemployment Rate - Associate Degree - Occupational Program, 18 to 19 years, Men	Monthly	Percent
ADOP1819W	Unemployment Rate - Associate Degree - Occupational Program, 18 to 19 years, Women	Monthly	Percent
ADOP2024	Unemployment Rate - Associate Degree - Occupational Program, 20 to 24 years	Monthly	Percent
ADOP2024M	Unemployment Rate - Associate Degree - Occupational Program, 20 to 24 years, Men	Monthly	Percent
ADOP2024W	Unemployment Rate - Associate Degree - Occupational Program, 20 to 24 years, Women	Monthly	Percent
ADOP2534	Unemployment Rate - Associate Degree - Occupational Program, 25 to 34 years	Monthly	Percent
ADOP2534M	Unemployment Rate - Associate Degree - Occupational Program, 25 to 34 years, Men	Monthly	Percent
ADOP2534W	Unemployment Rate - Associate Degree - Occupational Program, 25 to 34 years, Women	Monthly	Percent
ADOP2564	Unemployment Rate - Associate Degree - Occupational Program, 25 to 64 years	Monthly	Percent
ADOP2564M	Unemployment Rate - Associate Degree - Occupational Program, 25 to 64 years, Men	Monthly	Percent
ADOP2564W	Unemployment Rate - Associate Degree - Occupational Program, 25 to 64 years, Women	Monthly	Percent
ADOP25O	Unemployment Rate - Associate Degree - Occupational Program, 25 years and over	Monthly	Percent
ADOP25OM	Unemployment Rate - Associate Degree - Occupational Program, 25 years and over, Men	Monthly	Percent
ADOP25OW	Unemployment Rate - Associate Degree - Occupational Program, 25 years and over, Women	Monthly	Percent
ADOP3544	Unemployment Rate - Associate Degree - Occupational Program, 35 to 44 years	Monthly	Percent
ADOP3544M	Unemployment Rate - Associate Degree - Occupational Program, 35 to 44 years, Men	Monthly	Percent
ADOP3544W	Unemployment Rate - Associate Degree - Occupational Program, 35 to 44 years, Women	Monthly	Percent
ADOP4554	Unemployment Rate - Associate Degree - Occupational Program, 45 to 54 years	Monthly	Percent
ADOP4554M	Unemployment Rate - Associate Degree - Occupational Program, 45 to 54 years, Men	Monthly	Percent
ADOP4554W	Unemployment Rate - Associate Degree - Occupational Program, 45 to 54 years, Women	Monthly	Percent
ADOP5564	Unemployment Rate - Associate Degree - Occupational Program, 55 to 64 years	Monthly	Percent
ADOP5564M	Unemployment Rate - Associate Degree - Occupational Program, 55 to 64 years, Men	Monthly	Percent
ADOP5564W	Unemployment Rate - Associate Degree - Occupational Program, 55 to 64 years, Women	Monthly	Percent
ADOP65O	Unemployment Rate - Associate Degree - Occupational Program, 65 years and over	Monthly	Percent
ADOP65OM	Unemployment Rate - Associate Degree - Occupational Program, 65 years and over, Men	Monthly	Percent
ADOP65OW	Unemployment Rate - Associate Degree - Occupational Program, 65 years and over, Women	Monthly	Percent
ADOPL1617	Civilian Labor Force - Associate Degree - Occupational Program, 16 to 17 years	Monthly	Thousands of Persons
ADOPL1619	Civilian Labor Force - Associate Degree - Occupational Program, 16 to 19 years	Monthly	Thousands of Persons
ADOPL16O	Civilian Labor Force - Associate Degree - Occupational Program, 16 years and over	Monthly	Thousands of Persons
ADOPL1819	Civilian Labor Force - Associate Degree - Occupational Program, 18 to 19 years	Monthly	Thousands of Persons
ADOPL2024	Civilian Labor Force - Associate Degree - Occupational Program, 20 to 24 years	Monthly	Thousands of Persons
ADOPL2534	Civilian Labor Force - Associate Degree - Occupational Program, 25 to 34 years	Monthly	Thousands of Persons
ADOPL2564	Civilian Labor Force - Associate Degree - Occupational Program, 25 to 64 years	Monthly	Thousands of Persons
ADOPL25O	Civilian Labor Force - Associate Degree - Occupational Program, 25 years and over	Monthly	Thousands of Persons
ADOPL3544	Civilian Labor Force - Associate Degree - Occupational Program, 35 to 44 years	Monthly	Thousands of Persons
ADOPL4554	Civilian Labor Force - Associate Degree - Occupational Program, 45 to 54 years	Monthly	Thousands of Persons
ADOPL5564	Civilian Labor Force - Associate Degree - Occupational Program, 55 to 64 years	Monthly	Thousands of Persons
ADOPL65O	Civilian Labor Force - Associate Degree - Occupational Program, 65 years and over	Monthly	Thousands of Persons
ADOPLM1617	Civilian Labor Force - Associate Degree - Occupational Program, 16 to 17 years, Men	Monthly	Thousands of Persons
ADOPLM1619	Civilian Labor Force - Associate Degree - Occupational Program, 16 to 19 years, Men	Monthly	Thousands of Persons
ADOPLM16O	Civilian Labor Force - Associate Degree - Occupational Program, 16 years and over, Men	Monthly	Thousands of Persons
ADOPLM1819	Civilian Labor Force - Associate Degree - Occupational Program, 18 to 19 years, Men	Monthly	Thousands of Persons
ADOPLM2024	Civilian Labor Force - Associate Degree - Occupational Program, 20 to 24 years, Men	Monthly	Thousands of Persons
ADOPLM2534	Civilian Labor Force - Associate Degree - Occupational Program, 25 to 34 years, Men	Monthly	Thousands of Persons
ADOPLM2564	Civilian Labor Force - Associate Degree - Occupational Program, 25 to 64 years, Men	Monthly	Thousands of Persons
ADOPLM25O	Civilian Labor Force - Associate Degree - Occupational Program, 25 years and over, Men	Monthly	Thousands of Persons
ADOPLM3544	Civilian Labor Force - Associate Degree - Occupational Program, 35 to 44 years, Men	Monthly	Thousands of Persons
ADOPLM4554	Civilian Labor Force - Associate Degree - Occupational Program, 45 to 54 years, Men	Monthly	Thousands of Persons
ADOPLM5564	Civilian Labor Force - Associate Degree - Occupational Program, 55 to 64 years, Men	Monthly	Thousands of Persons
ADOPLM65O	Civilian Labor Force - Associate Degree - Occupational Program, 65 years and over, Men	Monthly	Thousands of Persons
ADOPLW1617	Civilian Labor Force - Associate Degree - Occupational Program, 16 to 17 years, Women	Monthly	Thousands of Persons
